"Sandol Stoddard AND Sandol Stoddard Warburg AND Jacqueline Chwast","I Like You","","","","9780395071762"
"Mary Pope Osborne","Mummies In The Morning","","","","9780679824244"
"Tracey West","Masters of Spinjitzu","","","","9780545435932"
"Dorling Kindersley Publishing Staff","The Batman Movie: The Essential Guide","","","","9781465456335"
"Greg Farshtey","Way Of The Ninja","","","","9780545401135"
"Inc. Scholastic","Star Wars 1, 2, 3","","","","9780545418782"
"Howard Binkow AND Sue Cornelison","Howard B. Wigglebottom listens to his heart","","","","9780545517669"
"Douglas Florian","Poem Depot: Aisles Of Smiles: Poems And Drawings","","","","9780147509178"
"Jeff Brown","Escape To California","","","","9780062189905"
"Greg Farshtey","Masters of Spinjitzu","","","","9780545401142"
"Tracey West","The golden weapons","","","","9780545401159"
"Jan Brett","Mossy","","","","9780399257827"
"Tracey West","World of Ninjago: official guide","","","","9780545808132"
"Judith Viorst","Alexander And The Terrible, Horrible, No Good, Very Bad Day","","","","9780590421447"
"Anne Schreiber","Sharks!","","","","9780545112758"
"Abby Klein","The Haunted Hayride","","","","9780545931724"
"Kathy Furgang","Dino-Mite Records","","","","9780545849876"
"Scholastic Inc. AND Cris Silvestri","Pokémon gotta catch 'em all!: deluxe essential handbook: the need-to-know stats and facts on over 700 Pokémon","","","","9780545795661"
"Barbara Bottner AND Gerald Kruglik","Wallace's Lists","","","","9780060002244"
"Howard Binkow AND Sue Cornelison","Howard B. Wigglebottom learns about sportsmanship: winning isn't everything","","","","9780545631938"
"","Battle of the books!","","","","9781338038019"
"Drew Daywalt","The Day The Crayons Quit","","","","9780399255373"
"Tish Rabe AND Tom Brannon AND Patrick Granleese","Planet name game","","","","9780553497328"
"Amy Hest AND Helen Oxenbury","When Charley met grampa","","","","9780763653149"
"Douglas Florian","How To Draw A Dragon","","","","9781442473997"
"Howard Binkow","Howard B. Wigglebottom learns about bullies","","","","9780545510271"
"Sara Ball AND Britta Drehsen","Flip-O-Saurus","","","","9780789210616"
"Kathryn Knight","Animals Of The Polar Regions","","","","9781453095522"
"Nancy E. Krulik","Hey! who stole the toilet?","","","","9780448455761"
"Tracey West","Snake attack!","","","","9780545465182"
"Paul O. Zelinsky","Rapunzel","","","","9780142301937"
"Cynthia Lord","Happy birthday, Hamster","","","","9780545493017"
"Sara Pennypacker","The Japanese ninja surprise","","","","9780061429941"
"Mary Pope Osborne","Dinosaurs Before Dark","","","","9780679824121"
"Tracey West","Rise Of The Snakes","","","","9780545435925"
"Judi Barrett AND Ron Barrett","Cloudy With A Chance Of Meatballs","","","","9780590303842"
"Mike Thaler","The music teacher from the Black Lagoon","","","","9780439188739"
